Sample in Buffer,Sample in Window,TRIGGER,Aquila_SoC/RISCV_CORE0/BPU_Profiler/incorrect_predictions_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/prediction_accuracy_denominator_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/mispred_penalty_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/total_branches_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/cpi_denominator_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/correct_predictions_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/bht_hits_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/bht_hit_rate_numerator_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/bht_misses_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/bht_hit_rate_denominator_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/prediction_accuracy_numerator_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/instruction_completed_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/fetch_pc_debug[31:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/execution_cycles_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/cpi_numerator_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/penalty_counting_debug
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,HEX,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,HEX,HEX,HEX,HEX,HEX
0,0,0,12494010,269963483,13775964,277768363,000000004ce310c3,257469473,39962900,39962900,262873664,302836564,257469473,000000004ce310c3,00004d1c,000000005af85713,000000005af85712,0
1,1,0,12494010,269963483,13775964,277768364,000000004ce310c3,257469474,39962900,39962900,262873665,302836564,257469473,000000004ce310c4,00004d20,000000005af85714,000000005af85713,0
2,2,0,12494010,269963484,13775964,277768364,000000004ce310c4,257469474,39962900,39962900,262873665,302836565,257469474,000000004ce310c5,00004d20,000000005af85715,000000005af85714,0
3,3,0,12494010,269963484,13775964,277768364,000000004ce310c5,257469474,39962900,39962900,262873665,302836565,257469474,000000004ce310c5,00004d20,000000005af85715,000000005af85715,0
4,4,0,12494010,269963484,13775964,277768364,000000004ce310c5,257469474,39962900,39962900,262873665,302836565,257469474,000000004ce310c6,00004d18,000000005af85716,000000005af85715,0
5,5,0,12494010,269963484,13775964,277768364,000000004ce310c6,257469474,39962900,39962900,262873665,302836565,257469474,000000004ce310c6,00004d1c,000000005af85717,000000005af85716,0
6,6,0,12494010,269963484,13775964,277768365,000000004ce310c6,257469475,39962900,39962900,262873666,302836565,257469474,000000004ce310c7,00004d20,000000005af85718,000000005af85717,0
7,7,0,12494010,269963485,13775964,277768365,000000004ce310c7,257469475,39962900,39962900,262873666,302836566,257469475,000000004ce310c8,00004d20,000000005af85719,000000005af85718,0
8,8,0,12494010,269963485,13775964,277768365,000000004ce310c8,257469475,39962900,39962900,262873666,302836566,257469475,000000004ce310c8,00004d20,000000005af85719,000000005af85719,0
